IsBalanceSheet,GroupingCode,CustomGrouping,FinanceCode,Title,AvailableToAllSchools,SchoolCodes,FinanceCodeTypeCode,LedgerCode,FinanceCodeEnabled,BalanceToScenario
False,Z10,ZZZ,PUPILTOTALADJ,Total Pupil number inc adj,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z13,ZZZ,PUPILY00,Nursery Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z13,ZZZ,PUPILY00.,Nursery Pupil Numbers,True,,PUPILNUMBERS,ZZZ_IMP,True,False
False,Z10,ZZZ,PUPILY01,Year 1 Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z10,ZZZ,PUPILY01.,Year 1 Pupil Numbers,True,,PUPILNUMBERS,COSTCTR,True,False
False,Z10,ZZZ,PUPILY02,Year 2 Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z10,ZZZ,PUPILY02.,Year 2 Pupil Numbers,True,,PUPILNUMBERS,ZZZ_IMP,True,False
False,Z10,ZZZ,PUPILY03,Year 3 Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z10,ZZZ,PUPILY03.,Year 3 Pupil Numbers,True,,PUPILNUMBERS,ZZZ_IMP,True,False
False,Z10,ZZZ,PUPILY04,Year 4 Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z10,ZZZ,PUPILY04.,Year 4 Pupil Numbers,True,,PUPILNUMBERS,ZZZ_IMP,True,False
False,Z10,ZZZ,PUPILY05,Year 5 Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z10,ZZZ,PUPILY05.,Year 5 Pupil Numbers,True,,PUPILNUMBERS,COSTCTR,True,False
False,Z10,ZZZ,PUPILY06,Year 6 Pupil Numbers,True,,PUPILNUMBERS,DEFAULT,True,False
False,Z10,ZZZ,PUPILY06.,Year 6 Pupil Numbers,True,,PUPILNUMBERS,ZZZ_IMP,True,False
False,ZZZ,ZZZ,RETENTION,Student Retention Rate,True,,STATISTICS,DEFAULT,True,False
False,Z06,ZZZ,REV_BFWD_RES,Fixed Revenue Fund B/F Balances,True,,REVENUEFUND,DEFAULT,True,False
False,ZZZ,ZZZ,RPA,Risk Protection Arrangement Insurance,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,RPI,RPI,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,RPI_CUR,RPI Curriculum,False,CEN,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_FSM6PRI,Supplementary Grant Rate 07 FSM6 Primary,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_FSM6SEC,Supplementary Grant Rate 08 FSM6 Secondary,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_KS3,Supplementary Grant Rate 04 KS3,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_KS4,Supplementary Grant Rate 05 KS4,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_KS5,Supplementary Grant Rate 06 KS5,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_LUMP,Supplementary Grant Rate 01 Lump Sum,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_NUR,Supplementary Grant Rate 02 Nursery,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,SUPP_GRANT_RATE_PRI,Supplementary Grant Rate 03 Primary,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,TEST-A11,Test A1,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,TEST-A22,Test A2,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,TEST-B,Test B,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_ANNUAL,UIFSM - Annual calc,True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_FIN,UIFSM - Final Payment,True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_PRO,UIFSM Provisional Allocation,True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_PRO_CALC,UIFSM - Provisional calc,True,,FUNDING,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_RATE,UIFSM Per Pupil Per Annum,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_RATE_FIN,UIFSM Per Pupil Per Annum (Final),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_RATE_PRO,UIFSM Per Pupil Per Annum (Provisional),True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,UIFSM_YEAR_CALC,UIFSM_YEAR_CALC,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,UPLIFT_ENR,Energy Uplift,True,,STATISTICS,DEFAULT,True,False
False,ZZZ,ZZZ,UPLIFT_GAS,Uplift GAS,True,,STATISTICS,DEFAULT,True,False
False,Z03,ZZZ,WK_FTE_BREAKFAST,Weekly FTE - Breakfast,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_CATER,Weekly FTE - Catering,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_CLEANING,Weekly FTE - Cleaning,True,,STATISTICS,COSTCTR,True,False
False,Z02,ZZZ,WK_FTE_COVER,Weekly FTE - Cover,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_FINADM,Weekly FTE - Finance Admin,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_BREAKFAST,Weekly FTE Leave Adjustment - Breakfast,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_CATER,Weekly FTE Leave Adjustment - Catering,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_CLEANING,Weekly FTE Leave Adjustment - Cleaning,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_COVER,Weekly FTE Leave Adjustment - Cover,True,,STATISTICS,COSTCTR,True,False
False,Z14,ZZZ,WK_FTE_LEAVE_ADJ_COVER,Weekly FTE Leave Adjustment - Cover,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_FINADM,Weekly FTE Leave Adjustment - Finance Admin,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_MID,Weekly FTE Leave Adjustment - Mid Day Supervisors,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_NURSERY,Weekly FTE Leave Adjustment - Nursery,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_PASTORAL,Weekly FTE Leave Adjustment - Pastoral,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_PREM,Weekly FTE Leave Adjustment - Premises,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_SWIM,Weekly FTE Leave Adjustment - Swim,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_TEACH,Weekly FTE Leave Adjustment - Teaching,True,,STATISTICS,COSTCTR,True,False
False,Z14,ZZZ,WK_FTE_LEAVE_ADJ_TEACH,Weekly FTE Leave Adjustment - Teaching,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_TEACHAST,Weekly FTE Leave Adjustment - Teaching Assistants,True,,STATISTICS,COSTCTR,True,False
False,Z15,ZZZ,WK_FTE_LEAVE_ADJ_TECH,Weekly FTE Leave Adjustment - Technicians,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_MID,Weekly FTE - Mid Day Supervisors,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_NURSERY,Weekly FTE - Nursery,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_PASTORAL,Weekly FTE - Pastoral,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_PREM,Weekly FTE - Premises,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_SWIM,Weekly FTE - Swim,True,,STATISTICS,COSTCTR,True,False
False,Z02,ZZZ,WK_FTE_TEACH,Weekly FTE - Teaching,True,,STATISTICS,COSTCTR,True,False
False,Z02,ZZZ,WK_FTE_TEACHAST,Weekly FTE - Teaching Assistants,True,,STATISTICS,COSTCTR,True,False
False,Z03,ZZZ,WK_FTE_TECH,Weekly FTE - Technicians,True,,STATISTICS,COSTCTR,True,False
